date,id_,x,y
2008-05-17 07:38:44,085-20080517073836,-15.347689,0.526376
2008-05-17 07:40:14,085-20080517073836,-14.718403,0.526129
2008-05-17 07:40:16,085-20080517073836,-14.695583,0.525832
2008-05-17 07:40:36,085-20080517073836,-14.469494,0.520881
2008-05-17 07:40:56,085-20080517073836,-14.437991,0.519544
2008-05-17 07:41:10,085-20080517073836,-14.441998,0.519693
2008-05-17 07:41:18,085-20080517073836,-14.40582,0.517564
2008-05-17 07:41:22,085-20080517073836,-14.374428,0.517514
2008-05-17 07:41:26,085-20080517073836,-14.332795,0.518356
2008-05-17 07:41:44,085-20080517073836,-14.122625,0.516376
2008-05-17 07:42:36,085-20080517073836,-13.70106,0.509494
2008-05-17 07:42:50,085-20080517073836,-13.532746,0.503999
2008-05-17 07:43:16,085-20080517073836,-13.248994,0.484245
2008-05-17 07:43:18,085-20080517073836,-13.229959,0.483156
2008-05-17 07:45:18,085-20080517073836,-12.989288,0.480978
2008-05-17 07:45:32,085-20080517073836,-12.897783,0.553853
2008-05-17 07:46:00,085-20080517073836,-12.830213,0.772183
2008-05-17 07:46:38,085-20080517073836,-12.862273,1.095916
2008-05-17 07:47:28,085-20080517073836,-12.902348,1.495198
2008-05-17 07:47:54,085-20080517073836,-12.95155,1.682684
2008-05-17 07:47:56,085-20080517073836,-12.955335,1.698873
2008-05-17 07:48:22,085-20080517073836,-12.945985,1.850863
2008-05-17 07:48:30,085-20080517073836,-12.911476,1.864081
2008-05-17 07:48:50,085-20080517073836,-12.614811,1.821801
2008-05-17 07:49:02,085-20080517073836,-12.385383,1.788334
2008-05-17 07:51:06,085-20080517073836,-11.391417,1.670901
2008-07-22 07:20:58,085-20080722072028,2.319503,1.298304
2008-07-22 07:21:00,085-20080722072028,2.313269,1.30583
2008-07-22 07:21:08,085-20080722072028,2.302248,1.343802
2008-07-22 07:21:24,085-20080722072028,2.295124,1.423262
2008-07-22 07:22:44,085-20080722072028,2.284103,1.793235
2008-07-22 07:22:54,085-20080722072028,2.368817,1.825366
2008-07-22 07:22:56,085-20080722072028,2.363585,1.829079
2008-07-22 07:22:58,085-20080722072028,2.361804,1.833188
2008-07-22 07:23:08,085-20080722072028,2.360913,1.835862
2008-07-22 07:23:26,085-20080722072028,2.361359,1.855368
2008-07-22 07:24:08,085-20080722072028,2.346219,1.88131
2008-07-22 07:24:14,085-20080722072028,2.349447,1.886558
2008-07-22 07:24:22,085-20080722072028,2.355681,1.892004
2008-07-22 07:24:28,085-20080722072028,2.360357,1.896608
2008-07-22 07:24:44,085-20080722072028,2.358353,1.905272
2008-07-22 07:24:48,085-20080722072028,2.360579,1.909579
2008-07-22 07:25:26,085-20080722072028,2.35301,1.923738
2008-07-22 07:26:10,085-20080722072028,2.315829,1.948839
2008-07-22 07:26:28,085-20080722072028,2.289335,1.96082
2008-07-22 07:26:30,085-20080722072028,2.283213,1.963097
2008-07-22 07:26:42,085-20080722072028,2.244585,1.998792
2008-07-22 07:27:12,085-20080722072028,2.033858,2.009734
2008-07-22 07:27:26,085-20080722072028,1.859422,2.011863
2008-07-22 07:29:32,085-20080722072028,1.64992,2.00612
2008-07-22 07:29:42,085-20080722072028,1.629994,2.004139
2008-07-22 07:30:12,085-20080722072028,1.560419,2.007506
2008-07-22 07:30:38,085-20080722072028,1.51489,2.005625
2008-07-22 07:31:58,085-20080722072028,1.499417,2.005129
2008-07-22 07:32:02,085-20080722072028,1.495409,2.005476
2008-07-22 07:32:44,085-20080722072028,1.376409,2.113304
2008-07-22 07:33:10,085-20080722072028,1.388766,2.137959
2008-07-22 07:33:16,085-20080722072028,1.37897,2.162763
2008-07-22 07:33:32,085-20080722072028,1.370843,2.214598
2008-07-22 07:33:36,085-20080722072028,1.37474,2.229598
2008-07-22 07:34:50,085-20080722072028,1.382755,2.422977
2008-07-22 07:34:54,085-20080722072028,1.376632,2.442285
2008-07-22 07:35:06,085-20080722072028,1.371511,2.50714
2008-07-22 07:35:30,085-20080722072028,1.356261,2.608483
